id,crystal_structure(core/shell),Space group(core),Space group(shell),chemical formula,Structure,length (D),width,depth,shape,core_1,core_2(shell),Name,synonyms,Cas rn (core_1),Cas rn (core_2),Exp type,Scale bar (nm),microphotography pic,Spectrum,JCPDS card (core),JCPDS card (shell),X-ray tube (nm),Instrument,Crystalline size,Material fraction,curie temperature (K),temperature (K),H-range min (kOe),H-range max(kOe),Ms (emu/g),Hc (Oe),Mr (emu/g),Instrument,exchange bias shift Hb or Heb(Oe),vertical loop shift M vsl (emu/g),M-H curve,cooling fields (mT),FC field(T),"Hc of measurement (kOe) ",applied field(kOe),Article id,Method,Tb,Keff (effective anisotropy constant) (erg/cm3),Keff (Jm^-3),"Total magnetization ",Atomic mass ratio,Number of magnetic ions per unit cell,get_exchange_group_info,number_of_unique_magnetic_sites,number_of_magnetic_sites
11,orthorhombic,pbnm,0,LaFeO3,LaFeO3,27,27,27,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,HRTEM,5,,,,,0.15406,PANalytical X’Pert Pro MPD,27,LaFeO3,,5,-60,60,1.3823,945,0.735,Quantum Design SQUID magnetometer,-344,,,2000,2,20,,10.3390/nano13101657,sol-gel,,,,,,,,,
12,orthorhombic,pbnm,0,LaFeO3,LaFeO3,27,27,27,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,HRTEM,5,,,,,0.15406,PANalytical X’Pert Pro MPD,27,LaFeO3,,5,-60,60,1.44117,1077,0.7,Quantum Design SQUID magnetometer,-635,0.142857,,50000,5,50,,10.3390/nano13101657,sol-gel,,,,,,,,,
13,orthorhombic,pbnm,0,LaFeO3,LaFeO3,36,36,36,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,,,,,,,0.15406,PANalytical X’Pert Pro MPD,36,LaFeO3,,5,-60,60,0.65,894,0.0588,Quantum Design SQUID magnetometer,0,-0.3,,0,0,0,,10.3390/nano13101657,sol-gel,,,,,,,,,
14,orthorhombic,pbnm,0,LaFeO3,LaFeO3,36,36,36,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,HRTEM,100,,,,,0.15406,PANalytical X’Pert Pro MPD,36,LaFeO3,,5,-60,60,0.65,985,0.0588,Quantum Design SQUID magnetometer,-229,0.0088,,500,0.5,5,,10.3390/nano13101657,sol-gel,,,,,,,,,
15,orthorhombic,pbnm,0,LaFeO3,LaFeO3,36,36,36,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,HRTEM,10,,,,,0.15406,PANalytical X’Pert Pro MPD,36,LaFeO3,,5,-60,60,0.65,1016,0.0588,Quantum Design SQUID magnetometer,-350,0.0176,,1000,1,10,,10.3390/nano13101657,sol-gel,,,,,,,,,
16,orthorhombic,pbnm,0,LaFeO3,LaFeO3,36,36,36,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,,,,,,,0.15406,PANalytical X’Pert Pro MPD,36,LaFeO3,,5,-60,60,0.66,1074,0.0588,Quantum Design SQUID magnetometer,-502,0.023,,2000,2,20,,10.3390/nano13101657,sol-gel,,,,,,,,,
17,orthorhombic,pbnm,0,LaFeO3,LaFeO3,36,36,36,sphere,La1Fe1O3,0,lanthanum iron perovskite,,12022-43-4,0,,,,,,,0.15406,PANalytical X’Pert Pro MPD,36,LaFeO3,,5,-60,60,0.66,1483,0.052,Quantum Design SQUID magnetometer,-2157,0.084,,50000,5,50,,10.3390/nano13101657,sol-gel,,,,,,,,,
18,"cubic, cubic",fm3m,fm3m,Ni@NiO,Ni–NiO,30,30,30,sphere,Ni1,Ni1O1,nickel monoxide,nickel oxide,7440-02-0,1313-99-1,BSE micrographs,500,,,,,,,,Ni50NiO50,,8,-2.5,2.5,26.6,634,21.5," Quantum Design MPMSXL-7",-130,0,1,1000,1,10,,10.1007/s10853-023-09277-7,high-pressure torsion (HPT),,,,,,,,,
19,"cubic, cubic",fm3m,fm3m,Ni@NiO,Ni–NiO,30,30,30,sphere,Ni1,Ni1O1,nickel monoxide,nickel oxide,7440-02-0,1313-99-1,BSE micrographs,500,,,,,,,,Ni50NiO50,,8,-2.5,2.5,26.4,641,21.5," Quantum Design MPMSXL-7",-137,0,1,1000,1,10,,10.1007/s10853-023-09277-7,high-pressure torsion (HPT),,,,,,,,,
20,"cubic, cubic",fm3m,fm3m,Ni@NiO,Ni–NiO,30,30,30,sphere,Ni1,Ni1O1,nickel monoxide,nickel oxide,7440-02-0,1313-99-1,,,,,,,,,,,,8,-2.5,2.5,15.2,379,8.9," Quantum Design MPMSXL-7",-38,0,1,1000,1,10,,10.1007/s10853-023-09277-7,high-pressure torsion (HPT),,,,,,,,,
21,"cubic, cubic",fm3m,fm3m,Ni@NiO,Ni–NiO,30,30,30,sphere,Ni1,Ni1O1,nickel monoxide,nickel oxide,7440-02-0,1313-99-1,,,,,,,,,,,,8,-2.5,2.5,14.7,547,10.7," Quantum Design MPMSXL-7",-73,0,1,1000,1,10,,10.1007/s10853-023-09277-7,high-pressure torsion (HPT),,,,,,,,,
22,"cubic, cubic",fm3m,fm3m,Ni@NiO,Ni–NiO,30,30,30,sphere,Ni1,Ni1O1,nickel monoxide,nickel oxide,7440-02-0,1313-99-1,,,,,,,,,,,,8,-2.5,2.5,16,534,13," Quantum Design MPMSXL-7",-81,0,1,1000,1,10,,10.1007/s10853-023-09277-7,high-pressure torsion (HPT),,,,,,,,,
23,"cubic, cubic",fm3m,fm3m,Ni@NiO,Ni–NiO,30,30,30,sphere,Ni1,Ni1O1,nickel monoxide,nickel oxide,7440-02-0,1313-99-1,,,,,,,,,,,,8,-2.5,2.5,16.5,756,12.8," Quantum Design MPMSXL-7",-109,0,1,1000,1,10,,10.1007/s10853-023-09277-7,high-pressure torsion (HPT),,,,,,,,,
24,cubic,fd3m,0,MgFe2O4,MgFe2O4,12,12,12,tetrahedral,Mg1Fe2O4,0,iron magnesium oxide,magnesium ferrite,12068-86-9,0,TEM,50,1,1,,,,Rigaku MineFlex II diffractometer,11.09,MgFe2O4-350,713,300,-20,20,12.75,8.45,0.14,Lakeshore model 7404,0,0,1,0,0,0,,doi.org/10.1016/j.jpcs.2021.110051,sol-gel,,,,,,,,,
25,cubic,fd3m,0,MgFe2O4,MgFe2O4,16,16,16,tetrahedral,Mg1Fe2O4,0,iron magnesium oxide,magnesium ferrite,12068-86-9,0,TEM,50,1,1,,,,Rigaku MineFlex II diffractometer,15.1,MgFe2O5-450,713,300,-20,20,18.61,9.88,0.34,Lakeshore model 7405,0,0,1,0,0,0,,doi.org/10.1016/j.jpcs.2021.110051,sol-gel,,,,,,,,,
26,cubic,fd3m,0,MgFe2O4,MgFe2O4,24,24,24,octahedral,Mg1Fe2O4,0,iron magnesium oxide,magnesium ferrite,12068-86-9,0,TEM,100,1,1,,,,Rigaku MineFlex II diffractometer,22.31,MgFe2O6-550,713,300,-20,20,24.52,22.34,1.24,Lakeshore model 7406,0,0,1,0,0,0,,doi.org/10.1016/j.jpcs.2021.110051,sol-gel,,,,,,,,,
27,cubic,fd3m,0,MgFe2O4,MgFe2O4,33,33,33,octahedral,Mg1Fe2O4,0,iron magnesium oxide,magnesium ferrite,12068-86-9,0,TEM,100,1,1,,,,Rigaku MineFlex II diffractometer,32.71,MgFe2O7-650,713,300,-20,20,29.42,59.66,3.81,Lakeshore model 7407,0,0,1,0,0,0,,doi.org/10.1016/j.jpcs.2021.110051,sol-gel,,,,,,,,,
28,cubic,fd3m,0,CoFe2O4,CoFe2O4,17.7,17.7,17.7,sphere,Co1Fe2O4,0,cobalt irin oxide,cfo,12052-28-7,0,SEM,200,1,,,,,Rigaku - Mineflex II,,CFO,793,300,-15,15,75,1400,32,Quantum Design Dynacool Physical Property Measurement System,0,0,1,500,0.5,5,,doi.org/10.1016/j.jallcom.2021.161650,sol-gel,,5170000,,,,,,,
29,trigonal,r3c,0,BiFeO3,BiFeO3,20.4,20.4,20.4,sphere,Bi1Fe1O3,0,bismuth ferrite,bfo,12010-42-3,0,SEM,200,1,,,,,Rigaku - Mineflex II,,BFO,1103,300,-15,15,0.12,0,0.03,,0,0,1,500,0.5,5,,doi.org/10.1016/j.jallcom.2021.161650,sol-gel,,,,,,,,,
30,"cubic, trigonal",fd3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,24.3,24.3,24.3,sphere,Co1Fe2O4,Bi1Fe1O3,cobalt irin oxide and bismuth ferrite,cfo/bfo,12052-28-7,12010-42-3,TEM,200,1,,,,,Rigaku - Mineflex II,,BFO,,350,-60,60,74.595,902.2495,31.042,,112.781,0,1,10000,10,100,,doi.org/10.1016/j.jallcom.2021.161650,sol-gel,,,,,,,,,
31,"cubic, trigonal",fd3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,24.3,24.3,24.3,sphere,Co1Fe2O4,Bi1Fe1O3,cobalt irin oxide and bismuth ferrite,cfo/bfo,12052-28-7,12010-42-3,TEM,20,1,,,,,Rigaku - Mineflex II,,CoFe2O4@BiFeO3,719.7,300,-60,60,79.167,1316.317,39.222,,226.736,0,1,10000,10,100,,doi.org/10.1016/j.jallcom.2021.161650,nitrate method,,,,,,,,,
32,"cubic, trigonal",fd3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,32.9,32.9,32.9,sphere,Co1Fe2O4,Bi1Fe1O3,cobalt irin oxide and bismuth ferrite,cfo/bfo,12052-28-7,12010-42-3,TEM,2,1,,,,,Rigaku - Mineflex II,,CoFe2O4@BiFeO3,719.7,250,-60,60,83.259,1616.53,41.629,,170,0,1,10000,10,100,,doi.org/10.1016/j.jallcom.2021.161650,nitrate method,,,,,,,,,
33,"cubic, trigonal",fd3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,24.3,24.3,24.3,sphere,Co1Fe2O4,Bi1Fe1O3,cobalt irin oxide and bismuth ferrite,cfo/bfo,12052-28-7,12010-42-3,TEM,20,1,,,,,Rigaku - Mineflex II,,CoFe2O4@BiFeO3,719.7,200,-60,60,85.9,2594.2375,56,,169.131,0,1,10000,10,100,,doi.org/10.1016/j.jallcom.2021.161650,nitrate method,,,,,,,,,
34,"cubic, trigonal",fd3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,24.3,24.3,24.3,sphere,Co1Fe2O4,Bi1Fe1O3,cobalt irin oxide and bismuth ferrite,cfo/bfo,12052-28-7,12010-42-3,TEM,20,1,,,,,Rigaku - Mineflex II,,CoFe2O4@BiFeO3,719.7,100,-60,60,87,6052.7,67.858,,112.78,0,1,10000,10,100,,doi.org/10.1016/j.jallcom.2021.161650,nitrate method,,,,,,,,,
35,"cubic, trigonal",fd3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,32.9,32.9,32.9,sphere,Co1Fe2O4,Bi1Fe1O3,cobalt irin oxide and bismuth ferrite,cfo/bfo,12052-28-7,12010-42-3,TEM,2,1,,,,,Rigaku - Mineflex II,,CoFe2O4@BiFeO3,719.7,50,-60,60,87.5,7932.631,71.226,,56.18,0,1,10000,10,100,,doi.org/10.1016/j.jallcom.2021.161650,nitrate method,,,,,,,,,
36,"cubic, trigonal",fd3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,24.3,24.3,24.3,sphere,Co1Fe2O4,Bi1Fe1O3,cobalt irin oxide and bismuth ferrite,cfo/bfo,12052-28-7,12010-42-3,TEM,20,1,,,,,Rigaku - Mineflex II,,CoFe2O4@BiFeO3,719.7,150,-60,60,87.349,4116.89,63.046,,90,0,1,10000,10,100,,doi.org/10.1016/j.jallcom.2021.161650,nitrate method,,,,,,,,,
37,"cubic, trigonal",fd3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,32.9,32.9,32.9,sphere,Co1Fe2O4,Bi1Fe1O3,cobalt irin oxide and bismuth ferrite,cfo/bfo,12052-28-7,12010-42-3,TEM,2,1,,,,,Rigaku - Mineflex II,,CoFe2O4@BiFeO3,719.7,5,-60,60,87.83,8966,73.151,,50,0,1,10000,10,100,,doi.org/10.1016/j.jallcom.2021.161650,nitrate method,,,,,,,,,
38,"hexagonal, cubic ",p63/mmc,fm3m,Co/CoO,Co/CoO,30,30,30,sphere,Co1,Co1O1,cobaltum,,7440-48-4,1307-96-6,,,,,,,,,,,,5,-6,6,,538.42,,,-142.78,0,,500,0.5,5,,doi.org/10.3390/coatings11020122,,,,,,,,,,
39,"hexagonal, cubic ",p63/mmc,fm3m,Co/CoO,Co/CoO,30,30,30,sphere,Co1,Co1O1,cobaltum,,7440-48-4,1307-96-6,,,,,,,,,,,,5,-6,6,,434,,,-137.21,0,,500,0.5,5,,doi.org/10.3390/coatings11020122,,,,,,,,,,
40,"hexagonal, cubic ",p63/mmc,fm3m,Co/CoO,Co/CoO,30,30,30,sphere,Co1,Co1O1,cobaltum,,7440-48-4,1307-96-6,,,,,,,,,,,,5,-6,6,,280,,,-71,0,,500,0.5,5,,doi.org/10.3390/coatings11020122,,,,,,,,,,
41,"hexagonal, cubic ",p63/mmc,fm3m,Co/CoO,Co/CoO,30,30,30,sphere,Co1,Co1O1,cobaltum,,7440-48-4,1307-96-6,,,,,,,,,,,,5,-6,6,,532.96,,,-346.379,0,,500,0.5,5,,doi.org/10.3390/coatings11020122,,,,,,,,,,
42,cubic,pm3m,0,FeRh,FeRh,25,25,25,,Fe1Rh1,0,iron rhodium,,,0,,,,,,,,,,,730,2,-0.1,0.1,,1661.3845,,,-952.57,0,,1000,1,10,0.05,10.1016/j.matchemphys.2021.125252,non-aqueous homogeneous solutions of polyols,,,,,,,,,
43,cubic,pm3m,0,FeRh,FeRh,25,25,25,,Fe1Rh1,0,iron rhodium,,,0,,,,,,,,,,,730,2,-0.1,0.1,,1322.79,,,-629.898,0,,1000,1,10,0.05,10.1016/j.matchemphys.2021.125252,non-aqueous homogeneous solutions of polyols,,,,,,,,,
44,cubic,pm3m,0,FeRh,FeRh,25,25,25,,Fe1Rh1,0,iron rhodium,,,0,,,,,,,,,,,730,2,-0.1,0.1,,1070.862,,,-519.698,0,,1000,1,10,0.05,10.1016/j.matchemphys.2021.125252,non-aqueous homogeneous solutions of polyols,,,,,,,,,
45,cubic,pm3m,0,FeRh,FeRh,25,25,25,,Fe1Rh1,0,iron rhodium,,,0,,,,,,,,,,,730,2,-0.1,0.1,,881.8975,,,-472.1585,0,,1000,1,10,0.05,10.1016/j.matchemphys.2021.125252,non-aqueous homogeneous solutions of polyols,,,,,,,,,
46,cubic,pm3m,0,FeRh,FeRh,200,200,200,,Fe1Rh1,0,iron rhodium,,,0,,,,,,,,,,,730,2,-0.1,0.1,,806.3,,,-278.3,0,,5000,5,50,0.05,10.1016/j.matchemphys.2021.125252,non-aqueous homogeneous solutions of polyols,,,,,,,,,
47,cubic,pm3m,0,FeRh,FeRh,200,200,200,,Fe1Rh1,0,iron rhodium,,,0,,,,,,,,,,,730,2,-0.1,0.1,,697.695,,,-185.144,0,,5000,5,50,0.05,10.1016/j.matchemphys.2021.125252,non-aqueous homogeneous solutions of polyols,,,,,,,,,
48,cubic,pm3m,0,FeRh,FeRh,200,200,200,,Fe1Rh1,0,iron rhodium,,,0,,,,,,,,,,,730,2,-0.1,0.1,,636.0.65,,,-108.065,0,,5000,5,50,0.05,10.1016/j.matchemphys.2021.125252,non-aqueous homogeneous solutions of polyols,,,,,,,,,
49,cubic,pm3m,0,FeRh,FeRh,200,200,200,,Fe1Rh1,0,iron rhodium,,,0,,,,,,,,,,,730,2,-0.1,0.1,,604.83,,,-76.83,0,,5000,5,,0.05,10.1016/j.matchemphys.2021.125252,non-aqueous homogeneous solutions of polyols,,,,,,,,,
50,tetragonal,i4/m,0,MnO2,MnO2,1000,20,0,wire,Mn1O2,0,manganese dioxide,manganese peroxide,1313-13-9,0,HRTEM,250,1,,,,,,,,363,5,-80,80,6.9,145,0.022,,-440,0.07,1,1000,1,10,0.1,doi.org/10.1038/srep06641,hydrothermal method,,,,,,,,,
51,"cubic, fcc",fm3m,fd3m,Ag/Fe3O4,Ag/Fe3O4,65,65,65,flower,Ag1,Fe3O4,,,7440-22-3,1317-61-9,HRTEM,20,1,,,,,,,,,5,-4,4,60,1186,16.22,,-551.72,,1,5000,5,50,,doi.org/10.3390/nano6110221,one-step solvothermal process,90,,,,,,,,
52,"cubic, fcc",fm3m,fd3m,Ag/Fe3O4,Ag/Fe3O4,65,65,65,flower,Ag1,Fe3O4,,,7440-22-3,1317-61-9,TEM,100,1,,,,,,,,,5,-4,4,60,1186,16.22,,-551.72,,1,1000,1,10,,doi.org/10.3390/nano6110221,one-step solvothermal process,90,,,,,,,,
53,"fcc, cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,11.65,11.65,11.65,sphere,Fe1,Fe2O3,iron hematite,,7439-89-6,1309-37-1,TEM,20,1,,,,,,,,60,5,-4,4,384.57,2095.77,247.96,,-96.767,111.36,1,5000,5,50,,doi.org/10.1088/0957-4484/26/40/405705,hermal decomposition of organometallic compounds,73,1520000,,,,,,,
54,"fcc, cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,11.65,11.65,11.65,sphere,Fe1,Fe2O3,iron hematite,,,0,TEM,20,1,,,,,,,,60,5,-4,4,326.6,1812,155.91,,-1812,157.4,1,5000,5,50,,doi.org/10.1088/0957-4484/26/40/405705,hermal decomposition of organometallic compounds,65,4180000,,,,,,,
55,"fcc, cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,11.65,11.65,11.65,sphere,Fe1,Fe2O3,iron hematite,,,0,TEM,5,1,,,,,,,,60,5,-4,4,326.6,7238,117.337,,-7238,117,1,5000,5,50,,doi.org/10.1088/0957-4484/26/40/405705,hermal decomposition of organometallic compounds,65,9000000,,,,,,,
56,"fcc, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,300,-30,30,35,,5.14,,,0,,0,0,0,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
57,"fcc, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,300,-30,30,41,,8.954,,,0,,0,0,0,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
58,"fcc, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,300,-30,30,53,,10.8,,,0,,0,0,0,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
59,"fcc, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,210,-30,30,37.7,13,0.285,,0,0,1,0,0,0,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
60,"fcc, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,210,-30,30,37.7,13,0.294,,-2.5,0,1,5000,5,50,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
61,"fcc, monoclinic",fm3m,cc,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,120,-30,30,37,521,3.095,,0,0,1,0,0,0,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
62,"fcc, monoclinic",fm3m,cc,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,120,-30,30,37,560,2.8,,-719,3.99,1,5000,5,50,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
63,"fcc, monoclinic",fm3m,cc,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,2,-30,30,32.9,2202,5.149,,0,0,1,0,0,0,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
64,"fcc, monoclinic",fm3m,cc,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,2,-30,30,33.6,3195.5,8.3485,,-2878.5,8.398,1,5000,5,50,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
65,"fcc, monoclinic",fm3m,cc,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,2,-30,30,54.8,628.5,13.33,,0,0,1,0,0,0,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
66,"fcc, monoclinic",fm3m,cc,FeO/Fe3O4,FeO/Fe3O4,19.2,17.3,,egg,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,50,,1,,,,Empyrean PANalytical,,,858,2,-30,30,54.8,767,22.313,,-329,9.188,1,5000,5,50,0.1,doi.org/10.1016/j.jmmm.2016.05.023,decomposition of an iron oleate complex,,,,,,,,,
67,cubic,fm3m,0,NiO,NiO,34.4,10.97,,rod,Ni1O1,0,nickel oxide,nickel dioxide,12035-36-8,0,HRTEM,200,1,1,78-0643,0,0.15406,"Rigaku, ULTIMA IV",17.6,NiO,,300,-15,15,0.18,87.02,2.65,Lakeshore 7410 vibrating sample magnetometer,0,0,1,0,0,0,,doi.org/10.1038/s41598-020-75669-3,,,,,,,,,,
