,unnamed: 0,id,c1,c2,c3,formula_combined,chemical_formula,x,y,z,sphericity,shape,area/volume,max/min,space_group_core,space_group_shell,crystal_structure,coer_oe,sat_em_g,mr (emu/g),exc_bias_oe,ver_shift_emu_g,temperature_k,fc_field_t,h_range_max_koe,mass_ratio,exc_dir,ver_s_dir,common_spin,effective anisotropy constant (j/m3),magnetic anisotropy constant (j/m3),magnetocrystalline anisotropy constant (j/m3),anisotropy constant,crystalline,mae,curie temperature (k),exchange constant (j/m) *10^-12,electronegativity core,demagnetization factors (nd),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/oe*g),orig_formula
10,543,11,Fe27Co3O40,,,Fe27 Co3 O40,,19.0,19.0,19.0,1.0,,0.316,1.0,227.0,0,,94.12,63.97,8.107,,,,,,,,,1.0,38225.0,104.0,5000,119000.0,,140000.0,800.0,0.257,2.752,0.333,0.5,0.0,Co0.3Fe0.7Fe2O4
11,544,12,Fe27Co3O40,,,Fe27 Co3 O40,,19.0,19.0,19.0,1.0,,0.316,1.0,227.0,0,,94.12,63.97,6.107,,,,,,,,,1.0,38225.0,104.0,5000,119000.0,,140000.0,800.0,0.257,2.752,0.333,0.5,0.0,Co0.3Fe0.7Fe2O4
12,545,13,Fe27Co3O40,,,Fe27 Co3 O40,,9.0,9.0,9.0,1.0,,0.333,1.0,227.0,0,,10.597,84.0,70.0,,,,,,,,,1.0,200000.0,177250.0,820000,119000.0,,1717500.0,550.5,0.282,2.752,0.333,9.1,0.004,Co0.3Fe0.7Fe2O4
13,546,14,Fe27Co3O40,,,Fe27 Co3 O40,,9.0,9.0,9.0,1.0,,0.333,1.0,227.0,0,,10.597,84.0,70.0,,,,,,,,,1.0,200000.0,177250.0,820000,119000.0,,1717500.0,550.5,0.282,2.752,0.333,9.1,0.004,Co0.3Fe0.7Fe2O4
14,547,15,Fe27Co3O40,,,Fe27 Co3 O40,,9.0,9.0,9.0,1.0,,0.333,1.0,227.0,0,,10.597,84.0,70.0,,,,,,,,,1.0,200000.0,177250.0,1700000,119000.0,,1717500.0,550.5,0.282,2.752,0.333,9.1,0.004,Co0.3Fe0.7Fe2O4
15,548,16,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,13.58,73.75,49.2,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.158,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
16,549,17,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,40.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.152,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
17,550,18,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
18,551,19,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
19,552,20,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
20,553,21,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
21,554,22,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
22,555,23,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
23,556,24,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
24,557,25,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
25,558,26,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
26,559,27,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,223000.0,5280000,275000.0,,2670000.0,534.0,0.17,2.754,0.333,9.1,0.015,Co0.5Fe0.5Fe2O4
27,560,28,Fe5CoO8,,,Fe5 Co1 O8,,20.0,20.0,20.0,1.0,,0.3,1.0,227.0,0,,2.545,60.0,30.0,,,,,,,,,1.0,320400.0,111528.65,5280000,275000.0,,1717500.0,534.0,0.158,2.754,0.333,6.864,0.004,Co0.5Fe0.5Fe2O4
28,561,29,Fe5CoO8,,,Fe5 Co1 O8,,12.0,12.0,12.0,1.0,,0.25,1.0,227.0,0,,15.701,77.0,67.0,,,,,,,,,1.0,200000.0,177250.0,1700000,275000.0,,2190000.0,534.0,0.17,2.754,0.333,9.1,0.004,Co0.5Fe0.5Fe2O4
29,562,30,Fe5CoO8,,,Fe5 Co1 O8,,12.0,12.0,12.0,1.0,,0.25,1.0,227.0,0,,15.701,77.0,67.0,,,,,,,,,1.0,200000.0,177250.0,1700000,25000.0,,772500.0,595.25,0.533,2.754,0.333,9.1,0.004,Co0.5Fe0.5Fe2O4
30,563,31,Fe5CoO8,,,Fe5 Co1 O8,,12.0,12.0,12.0,1.0,,0.25,1.0,227.0,0,,15.701,77.0,67.0,,,,,,,,,1.0,200000.0,177250.0,1700000,25000.0,,772500.0,595.25,0.533,2.754,0.333,9.1,0.004,Co0.5Fe0.5Fe2O4
31,564,32,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,7.36,60.0,40.0,,,,,,,,,1.0,290300.0,223000.0,4385000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
32,565,33,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,70.0,20.0,,,,,,,,,1.0,38225.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
33,566,34,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,70.0,20.0,,,,,,,,,1.0,38225.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
34,567,35,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,70.0,20.0,,,,,,,,,1.0,38225.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
35,568,36,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,70.0,20.0,,,,,,,,,1.0,38225.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
36,569,37,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,70.0,20.0,,,,,,,,,1.0,38225.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
37,570,38,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,49.0,15.0,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
38,571,39,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,49.0,15.0,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
39,572,40,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,49.0,15.0,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
40,573,41,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,49.0,15.0,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
41,574,42,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,49.0,15.0,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
42,575,43,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,53.0,20.0,,,,,,,,,1.0,35475.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
43,576,44,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,53.0,20.0,,,,,,,,,1.0,35475.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
44,577,45,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,53.0,20.0,,,,,,,,,1.0,35475.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
45,578,46,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,53.0,20.0,,,,,,,,,1.0,35475.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
46,579,47,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,48.0,15.4,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
47,580,48,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,48.0,15.4,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
48,581,49,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,48.0,15.4,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
49,582,50,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,48.0,15.4,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
50,583,51,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,300.0,48.0,15.4,,,,,,,,,1.0,29600.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
51,584,52,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,400.0,70.0,20.0,,,,,,,,,1.0,38225.0,223000.0,5280000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
52,585,53,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,10.86,63.25,43.067,,,,,,,,,1.0,290300.0,192500.0,4385000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
53,586,54,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,10.86,63.25,43.067,,,,,,,,,1.0,290300.0,192500.0,4385000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
54,587,55,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,10.86,63.25,43.067,,,,,,,,,1.0,290300.0,192500.0,4385000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
55,588,56,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,10.86,63.25,43.067,,,,,,,,,1.0,290300.0,192500.0,4385000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
56,589,57,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,10.86,63.25,43.067,,,,,,,,,1.0,290300.0,192500.0,4385000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
57,590,58,Fe23Co7O40,,,Fe23 Co7 O40,,27.0,27.0,27.0,1.0,,0.222,1.0,227.0,0,,10.86,63.25,43.067,,,,,,,,,1.0,290300.0,192500.0,4385000,294000.0,,2670000.0,534.0,-5.15,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
58,591,59,Fe23Co7O40,,,Fe23 Co7 O40,,22.0,22.0,22.0,1.0,,0.273,1.0,227.0,0,,11.0,56.0,40.0,,,,,,,,,1.0,290300.0,223000.0,4385000,294000.0,,2670000.0,534.0,-5.098,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
59,592,60,Fe23Co7O40,,,Fe23 Co7 O40,,22.0,22.0,22.0,1.0,,0.273,1.0,227.0,0,,5.0,61.0,42.0,,,,,,,,,1.0,290300.0,223000.0,4385000,294000.0,,2670000.0,534.0,-5.098,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
60,593,61,Fe23Co7O40,,,Fe23 Co7 O40,,22.0,22.0,22.0,1.0,,0.273,1.0,227.0,0,,8.0,70.0,40.0,,,,,,,,,1.0,290300.0,223000.0,4385000,294000.0,,2670000.0,534.0,-5.098,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
61,594,62,Fe23Co7O40,,,Fe23 Co7 O40,,22.0,22.0,22.0,1.0,,0.273,1.0,227.0,0,,400.0,53.0,20.0,,,,,,,,,1.0,29975.0,223000.0,5280000,294000.0,,2670000.0,534.0,-2.08,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
62,595,63,Fe23Co7O40,,,Fe23 Co7 O40,,22.0,22.0,22.0,1.0,,0.273,1.0,227.0,0,,8.0,60.0,40.0,,,,,,,,,1.0,290300.0,223000.0,4385000,294000.0,,2670000.0,534.0,-5.098,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
63,596,64,Fe23Co7O40,,,Fe23 Co7 O40,,22.0,22.0,22.0,1.0,,0.273,1.0,227.0,0,,10.86,63.25,43.067,,,,,,,,,1.0,290300.0,223000.0,4385000,294000.0,,2670000.0,534.0,-5.098,2.755,0.333,9.1,0.015,Co0.7Fe0.3Fe2O4
64,597,65,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,81.11,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
65,598,66,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,81.11,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
66,599,67,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,81.11,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
67,600,68,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,81.11,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
68,601,69,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,81.11,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
69,602,70,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,76.9,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
70,603,71,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,76.9,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
71,604,72,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,76.9,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
72,605,73,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,76.9,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
73,606,74,CoFe2O4,,,Co1 Fe2 O4,,12.0,12.0,12.0,1.0,,0.25,1.0,141.0,0,,0.0,76.9,0.0,,,,,,,,,1.0,280000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
74,607,75,CoFe2O4,,,Co1 Fe2 O4,,11.0,11.0,11.0,1.0,,0.273,1.0,227.0,0,,64.3,49.18,7.6,,,,,,,,,1.0,16000.0,10.6,14000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
75,608,76,CoFe2O4,,,Co1 Fe2 O4,,11.0,11.0,11.0,1.0,,0.273,1.0,227.0,0,,64.3,49.18,7.6,,,,,,,,,1.0,16000.0,10.6,14000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
76,609,77,CoFe2O4,,,Co1 Fe2 O4,,11.0,11.0,11.0,1.0,,0.273,1.0,227.0,0,,64.3,49.18,7.6,,,,,,,,,1.0,16000.0,10.6,14000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
77,610,78,CoFe2O4,,,Co1 Fe2 O4,,7.7,7.7,7.7,1.0,,0.39,1.0,227.0,0,,55.6,61.51,9.25,,,,,,,,,1.0,16000.0,10.6,14000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
78,611,79,CoFe2O4,,,Co1 Fe2 O4,,7.7,7.7,7.7,1.0,,0.39,1.0,227.0,0,,55.6,61.51,9.25,,,,,,,,,1.0,16000.0,10.6,14000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
79,612,80,CoFe2O4,,,Co1 Fe2 O4,,7.7,7.7,7.7,1.0,,0.39,1.0,227.0,0,,55.6,61.51,9.25,,,,,,,,,1.0,16000.0,10.6,14000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
80,613,81,CoFe2O4,,,Co1 Fe2 O4,,11.96,11.96,11.96,1.0,,0.251,1.0,227.0,0,,20.0,55.4,6.2,,,,,,,,,1.0,200000.0,10.6,1200,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
81,614,82,CoFe2O4,,,Co1 Fe2 O4,,11.96,11.96,11.96,1.0,,0.251,1.0,227.0,0,,20.0,55.4,6.2,,,,,,,,,1.0,200000.0,10.6,1200,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
82,615,83,CoFe2O4,,,Co1 Fe2 O4,,11.96,11.96,11.96,1.0,,0.251,1.0,227.0,0,,20.0,55.4,6.2,,,,,,,,,1.0,200000.0,10.6,1200,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
83,616,84,CoFe2O4,,,Co1 Fe2 O4,,11.96,11.96,11.96,1.0,,0.251,1.0,227.0,0,,20.0,55.4,6.2,,,,,,,,,1.0,200000.0,10.6,1200,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
84,617,85,CoFe2O4,,,Co1 Fe2 O4,,11.96,11.96,11.96,1.0,,0.251,1.0,227.0,0,,20.0,55.4,6.2,,,,,,,,,1.0,200000.0,10.6,1200,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
85,618,86,CoFe2O4,,,Co1 Fe2 O4,,10.0,10.0,10.0,1.0,,0.3,1.0,227.0,0,,0.8,76.0,43.0,,,,,,,,,1.0,296000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
86,619,87,CoFe2O4,,,Co1 Fe2 O4,,10.0,10.0,10.0,1.0,,0.3,1.0,227.0,0,,0.8,76.0,43.0,,,,,,,,,1.0,296000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
87,620,88,CoFe2O4,,,Co1 Fe2 O4,,10.0,10.0,10.0,1.0,,0.3,1.0,227.0,0,,0.8,76.0,43.0,,,,,,,,,1.0,296000.0,10.6,200000,280000.0,,2030000.0,520.0,0.17,2.757,0.333,0.156,0.001,CoFe2O4
